Title,Description,Skill Name
Soft Skills," With 8 years experience in fast paced, high pressure and time sensitive work environments coupled with just over 3 of those years as management it has allowed me to greatly develop the following soft skills among others.",Teamwork
Creativity," My creative suite of choice has always been Adobe for their powerful software, mass of tutorials and comprehensive cover when it comes to creating digital content for multi-platform consumption.",Adobe Premiere Pro
Full Stack," My time at Code Institute exposed me to many languages, learning methods and frameworks. In short I developed a strong bedrock to serve as the foundation of my future endevours and self learning.",HTML & CSS
